week,rank,player,percent,points_won,potential_points,nbr_of_wins,nbr_of_top_10s
1,1,Chris Gotterup,100,500,500,1,1
1,2,Ryan Gerard,60,300,500,0,1
1,3,Patrick Rodgers,38,190,500,0,1
1,4,Jacob Bridgeman,24.5,123,500,0,1
1,4,Robert MacIntyre,24.5,123,500,0,1
1,6,Daniel Berger,17.2,86,500,0,1
1,6,Harry Hall,17.2,86,500,0,1
1,6,Lee Hodges,17.2,86,500,0,1
1,6,Taylor Pendrith,17.2,86,500,0,1
1,6,Davis Riley,17.2,86,500,0,1
1,11,Si Woo Kim,13.5,68,500,0,0
1,11,Jake Knapp,13.5,68,500,0,0
1,13,Pierceson Coody,10.83,54,500,0,0
1,13,S.H. Kim,10.83,54,500,0,0
1,13,Hideki Matsuyama,10.83,54,500,0,0
1,13,Kevin Roy,10.83,54,500,0,0
1,13,Nick Taylor,10.83,54,500,0,0
1,13,Sudarshan Yellamaraju,10.83,54,500,0,0
1,19,Dan Brown,8.6,43,500,0,0
1,19,Ben Griffin,8.6,43,500,0,0
1,19,Russell Henley,8.6,43,500,0,0
1,19,John Parry,8.6,43,500,0,0
1,19,Chandler Phillips,8.6,43,500,0,0
1,24,Bud Cauley,6.5,33,500,0,0
1,24,Corey Conners,6.5,33,500,0,0
1,24,Adrien Dumont de Chassart,6.5,33,500,0,0
1,24,Kensei Hirata,6.5,33,500,0,0
1,24,Patton Kizzire,6.5,33,500,0,0
1,24,Maverick McNealy,6.5,33,500,0,0
1,24,Jordan Spieth,6.5,33,500,0,0
1,31,Ricky Castillo,4.27,21,500,0,0
1,31,Brice Garnett,4.27,21,500,0,0
1,31,Takumi Kanaya,4.27,21,500,0,0
1,31,Michael Kim,4.27,21,500,0,0
1,31,Seamus Power,4.27,21,500,0,0
1,31,Sam Stevens,4.27,21,500,0,0
1,31,Sahith Theegala,4.27,21,500,0,0
1,31,Dylan Wu,4.27,21,500,0,0
1,39,Tom Hoge,2.4,12,500,0,0
1,39,Kurt Kitayama,2.4,12,500,0,0
1,39,Denny McCarthy,2.4,12,500,0,0
1,39,Mac Meissner,2.4,12,500,0,0
1,39,Adam Scott,2.4,12,500,0,0
1,39,Vijay Singh,2.4,12,500,0,0
1,39,Alex Smalley,2.4,12,500,0,0
1,39,J.J. Spaun,2.4,12,500,0,0
1,39,Adam Svensson,2.4,12,500,0,0
1,39,Vince Whaley,2.4,12,500,0,0
1,49,Zac Blair,1.5,8,500,0,0
1,49,David Ford,1.5,8,500,0,0
1,49,Emilio Gonzalez,1.5,8,500,0,0
1,49,Rico Hoey,1.5,8,500,0,0
1,49,Aaron Rai,1.5,8,500,0,0
1,54,Zecheng Dou,1.1,6,500,0,0
1,54,Doug Ghim,1.1,6,500,0,0
1,54,Haotong Li,1.1,6,500,0,0
1,54,Matt McCarty,1.1,6,500,0,0
1,54,Matthieu Pavon,1.1,6,500,0,0
1,54,Webb Simpson,1.1,6,500,0,0
1,60,Nick Dunlap,0.88,4,500,0,0
1,60,Brian Harman,0.88,4,500,0,0
1,60,Zach Johnson,0.88,4,500,0,0
1,60,Johnny Keefer,0.88,4,500,0,0
1,60,Tom Kim,0.88,4,500,0,0
1,65,Joe Highsmith,0.7,4,500,0,0
1,65,Mark Hubbard,0.7,4,500,0,0
1,65,Keith Mitchell,0.7,4,500,0,0
1,65,Jordan Smith,0.7,4,500,0,0
1,69,Zach Bauchou,0.6,3,500,0,0
1,70,William Mouw,0.57,3,500,0,0
1,70,Chad Ramey,0.57,3,500,0,0
1,72,Billy Horschel,0.52,3,500,0,0
2,1,Scottie Scheffler,100,500,500,1,1
2,2,Jason Day,36.75,184,500,0,1
2,2,Ryan Gerard,36.75,184,500,0,1
2,2,Matt McCarty,36.75,184,500,0,1
2,2,Andrew Putnam,36.75,184,500,0,1
2,6,Si Woo Kim,19,95,500,0,1
2,6,Sam Stevens,19,95,500,0,1
2,8,Russell Henley,15,75,500,0,1
2,8,Tom Hoge,15,75,500,0,1
2,8,Haotong Li,15,75,500,0,1
2,8,Austin Smotherman,15,75,500,0,1
2,8,Sahith Theegala,15,75,500,0,1
2,13,Zach Bauchou,11.04,55,500,0,0
2,13,Jacob Bridgeman,11.04,55,500,0,0
2,13,Patrick Cantlay,11.04,55,500,0,0
2,13,Wyndham Clark,11.04,55,500,0,0
2,13,David Ford,11.04,55,500,0,0
2,18,Pierceson Coody,8.8,44,500,0,0
2,18,Rickie Fowler,8.8,44,500,0,0
2,18,S.H. Kim,8.8,44,500,0,0
2,18,Karl Vilips,8.8,44,500,0,0
2,18,Will Zalatoris,8.8,44,500,0,0
2,23,Ben Griffin,7.1,36,500,0,0
2,23,Harry Hall,7.1,36,500,0,0
2,23,Adam Scott,7.1,36,500,0,0
2,26,Sam Burns,5.05,25,500,0,0
2,26,Eric Cole,5.05,25,500,0,0
2,26,Harris English,5.05,25,500,0,0
2,26,Max Homa,5.05,25,500,0,0
2,26,Billy Horschel,5.05,25,500,0,0
2,26,Johnny Keefer,5.05,25,500,0,0
2,26,Max McGreevy,5.05,25,500,0,0
2,26,Matthieu Pavon,5.05,25,500,0,0
2,26,Sam Ryder,5.05,25,500,0,0
2,26,Jordan Smith,5.05,25,500,0,0
2,26,Nick Taylor,5.05,25,500,0,0
2,37,Christiaan Bezuidenhout,3.1,16,500,0,0
2,37,Joel Dahmen,3.1,16,500,0,0
2,37,Tom Kim,3.1,16,500,0,0
2,37,Min Woo Lee,3.1,16,500,0,0
2,37,Robert MacIntyre,3.1,16,500,0,0
2,37,J.T. Poston,3.1,16,500,0,0
2,43,Rafael Campos,1.76,9,500,0,0
2,43,Ricky Castillo,1.76,9,500,0,0
2,43,A.J. Ewart,1.76,9,500,0,0
2,43,Ryo Hisatsune,1.76,9,500,0,0
2,43,Rasmus Højgaard,1.76,9,500,0,0
2,43,Matt Kuchar,1.76,9,500,0,0
2,43,David Lipsky,1.76,9,500,0,0
2,43,Keith Mitchell,1.76,9,500,0,0
2,43,Patrick Rodgers,1.76,9,500,0,0
2,43,Alex Smalley,1.76,9,500,0,0
2,43,Dylan Wu,1.76,9,500,0,0
2,43,Carson Young,1.76,9,500,0,0
2,55,Daniel Berger,1.04,5,500,0,0
2,55,Michael Brennan,1.04,5,500,0,0
2,55,Max Greyserman,1.04,5,500,0,0
2,55,Denny McCarthy,1.04,5,500,0,0
2,55,Taylor Moore,1.04,5,500,0,0
2,55,John Parry,1.04,5,500,0,0
2,55,Davis Riley,1.04,5,500,0,0
2,62,Davis Chatfield,0.78,4,500,0,0
2,62,Matt Fitzpatrick,0.78,4,500,0,0
2,62,Mac Meissner,0.78,4,500,0,0
2,62,Chandler Phillips,0.78,4,500,0,0
2,62,Seamus Power,0.78,4,500,0,0
2,62,Chad Ramey,0.78,4,500,0,0
2,68,Adrien Dumont de Chassart,0.64,3,500,0,0
2,69,Zach Johnson,0.59,3,500,0,0
2,69,Adrien Saddier,0.59,3,500,0,0
2,71,Gary Woodland,0.56,3,500,0,0
2,72,Zecheng Dou,0.54,3,500,0,0
3,1,Justin Rose,100,500,500,1,1
3,2,Pierceson Coody,41.67,208,500,0,1
3,2,Ryo Hisatsune,41.67,208,500,0,1
3,2,Si Woo Kim,41.67,208,500,0,1
3,5,Stephan Jaeger,21,105,500,0,1
3,5,Jake Knapp,21,105,500,0,1
3,7,Joel Dahmen,17,85,500,0,1
3,7,Andrew Novak,17,85,500,0,1
3,7,Sahith Theegala,17,85,500,0,1
3,10,Maverick McNealy,15,75,500,0,1
