rank,week,player,percent,points_won,potential_points,nbr_of_wins,nbr_of_top_10s
1,1,Chris Gotterup,100,500,500,1,1
2,1,Ryan Gerard,60,300,500,0,1
3,1,Patrick Rodgers,38,190,500,0,1
4,1,Jacob Bridgeman,24.5,123,500,0,1
4,1,Robert MacIntyre,24.5,123,500,0,1
6,1,Daniel Berger,17.2,86,500,0,1
6,1,Harry Hall,17.2,86,500,0,1
6,1,Lee Hodges,17.2,86,500,0,1
6,1,Taylor Pendrith,17.2,86,500,0,1
6,1,Davis Riley,17.2,86,500,0,1
11,1,Si Woo Kim,13.5,68,500,0,0
11,1,Jake Knapp,13.5,68,500,0,0
13,1,Pierceson Coody,10.83,54,500,0,0
13,1,S.H. Kim,10.83,54,500,0,0
13,1,Hideki Matsuyama,10.83,54,500,0,0
13,1,Kevin Roy,10.83,54,500,0,0
13,1,Nick Taylor,10.83,54,500,0,0
13,1,Sudarshan Yellamaraju,10.83,54,500,0,0
19,1,Dan Brown,8.6,43,500,0,0
19,1,Ben Griffin,8.6,43,500,0,0
19,1,Russell Henley,8.6,43,500,0,0
19,1,John Parry,8.6,43,500,0,0
19,1,Chandler Phillips,8.6,43,500,0,0
24,1,Bud Cauley,6.5,33,500,0,0
24,1,Corey Conners,6.5,33,500,0,0
24,1,Adrien Dumont de Chassart,6.5,33,500,0,0
24,1,Kensei Hirata,6.5,33,500,0,0
24,1,Patton Kizzire,6.5,33,500,0,0
24,1,Maverick McNealy,6.5,33,500,0,0
24,1,Jordan Spieth,6.5,33,500,0,0
31,1,Ricky Castillo,4.27,21,500,0,0
31,1,Brice Garnett,4.27,21,500,0,0
31,1,Takumi Kanaya,4.27,21,500,0,0
31,1,Michael Kim,4.27,21,500,0,0
31,1,Seamus Power,4.27,21,500,0,0
31,1,Sam Stevens,4.27,21,500,0,0
31,1,Sahith Theegala,4.27,21,500,0,0
31,1,Dylan Wu,4.27,21,500,0,0
39,1,Tom Hoge,2.4,12,500,0,0
39,1,Kurt Kitayama,2.4,12,500,0,0
39,1,Denny McCarthy,2.4,12,500,0,0
39,1,Mac Meissner,2.4,12,500,0,0
39,1,Adam Scott,2.4,12,500,0,0
39,1,Vijay Singh,2.4,12,500,0,0
39,1,Alex Smalley,2.4,12,500,0,0
39,1,J.J. Spaun,2.4,12,500,0,0
39,1,Adam Svensson,2.4,12,500,0,0
39,1,Vince Whaley,2.4,12,500,0,0
49,1,Zac Blair,1.5,8,500,0,0
49,1,David Ford,1.5,8,500,0,0
49,1,Emilio Gonzalez,1.5,8,500,0,0
49,1,Rico Hoey,1.5,8,500,0,0
49,1,Aaron Rai,1.5,8,500,0,0
54,1,Zecheng Dou,1.1,6,500,0,0
54,1,Doug Ghim,1.1,6,500,0,0
54,1,Haotong Li,1.1,6,500,0,0
54,1,Matt McCarty,1.1,6,500,0,0
54,1,Matthieu Pavon,1.1,6,500,0,0
