Week,O-Line Ranking,Team,Opponent,aFPA,Difference
5,3,DET,CAR,30,27
5,12,ATL,HOU,28,16
5,8,GB,LVR,24,16
5,2,KC,MIN,16,14
5,9,MIA,NYG,20,11
5,4,DAL,SF,15,11
5,20,CIN,ARI,29,9
5,16,BAL,PIT,25,9
5,21,LV,GB,27,6
5,28,WAS,CHI,31,3
5,14,DEN,NYJ,17,3
5,30,NYJ,DEN,32,2
5,1,PHI,LAR,3,2
5,13,NE,NO,14,1
5,6,CLE,BYE,6,0
5,5,LAC,BYE,5,0
5,18,SEA,BYE,18,0
5,7,TB,BYE,7,0
5,10,IND,TEN,10,0
5,11,SF,DAL,9,-2
5,24,PIT,BAL,21,-3
5,32,NYG,MIA,26,-6
5,31,TEN,IND,23,-8
5,15,BUF,JAX,6,-9
5,19,JAX,BUF,8,-11
5,17,MIN,KC,5,-12
5,26,CHI,WAS,13,-13
5,27,ARI,CIN,12,-15
5,29,LAR,PHI,11,-18
5,25,HOU,ATL,4,-21
5,22,CAR,DET,1,-21
5,23,NO,NE,2,-21
7,1,PHI,NYJ,25,24
7,2,KC,DEN,32,30
7,3,DET,TB,16,13
7,4,DAL,LAC,19,15
7,5,LAC,DAL,11,6
7,6,CLE,SF,8,2
7,7,IND,JAX,2,-5
7,8,TB,DET,1,-7
7,9,GB,BYE,9,0
7,10,MIA,CAR,30,20
7,11,SF,CLE,7,-4
7,12,BAL,TEN,20,8
7,13,ATL,WAS,13,0
7,14,BUF,NYG,14,0
7,15,MIN,CHI,31,16
7,16,SEA,CIN,17,1
7,17,CIN,SEA,22,5
7,18,JAX,IND,23,5
7,19,DEN,KC,5,-14
7,20,LVR,NE,9,-11
7,21,CAR,MIA,26,5
7,22,NE,LVR,24,2
7,23,NO,HOU,27,4
7,24,HOU,NO,10,-14
7,25,LAR,ARI,29,4
7,26,CHI,MIN,12,-14
7,27,ARI,LAR,3,-24
7,28,PIT,BYE,28,0
7,29,WAS,ATL,4,-25
7,30,NYJ,PHI,6,-24
7,31,TEN,BAL,15,-16
7,32,NYG,BUF,18,-14
8,1,DET,LVR,29,28
8,2,PHI,WAS,15,13
8,3,KC,DEN,32,29
