Name,Position,Roster Position,TeamAbbrev,Week,Salary,%Drafted,FPTS,Non_TD_FPTS,TD_FPTS
Saquon Barkley,RB,RB/FLEX,PHI,1,8200,24.21%,18.4,12.4,6.0
Ja'Marr Chase,WR,WR/FLEX,CIN,1,8100,18.41%,4.6,4.6,0.0
Bijan Robinson,RB,RB/FLEX,ATL,1,8000,6.64%,27.4,21.4,6.0
CeeDee Lamb,WR,WR/FLEX,DAL,1,7900,7.10%,21.0,21.0,0.0
Justin Jefferson,WR,WR/FLEX,MIN,1,7800,3.26%,14.8,8.8,6.0
Jahmyr Gibbs,RB,RB/FLEX,DET,1,7700,7.92%,15.0,15.0,0.0
Puka Nacua,WR,WR/FLEX,LAR,1,7600,4.14%,26.1,26.1,0.0
Nico Collins,WR,WR/FLEX,HOU,1,7400,3.99%,5.5,5.5,0.0
Christian McCaffrey,RB,RB/FLEX,SF,1,7300,10.90%,23.2,23.2,0.0
Lamar Jackson,QB,QB,BAL,1,7300,4.89%,29.36,15.36,14.0
Josh Allen,QB,QB,BUF,1,7200,5.78%,41.76,21.76,20.0
Derrick Henry,RB,RB/FLEX,BAL,1,7200,15.26%,33.2,21.2,12.0
Jalen Hurts,QB,QB,PHI,1,7100,12.49%,24.28,12.28,12.0
Bucky Irving,RB,RB/FLEX,TB,1,7100,5.82%,14.5,8.5,6.0
Amon-Ra St. Brown,WR,WR/FLEX,DET,1,7100,3.76%,8.5,8.5,0.0
Ashton Jeanty,RB,RB/FLEX,LV,1,7000,6.53%,12.0,6.0,6.0
Jayden Daniels,QB,QB,WAS,1,7000,7.17%,20.12,16.12,4.0
Malik Nabers,WR,WR/FLEX,NYG,1,7000,6.01%,12.1,12.1,0.0
A.J. Brown,WR,WR/FLEX,PHI,1,6900,8.73%,1.8,0.0,0.0
De'Von Achane,RB,RB/FLEX,MIA,1,6900,7.33%,16.5,10.5,6.0
Joe Burrow,QB,QB,CIN,1,6900,6.86%,8.82,4.82,4.0
Jonathan Taylor,RB,RB/FLEX,IND,1,6800,10.82%,12.8,12.8,0.0
Brian Thomas Jr.,WR,WR/FLEX,JAX,1,6800,11.98%,9.0,3.0,6.0
Ladd McConkey,WR,WR/FLEX,LAC,1,6700,8.04%,13.4,13.4,0.0
Tyreek Hill,WR,WR/FLEX,MIA,1,6700,2.47%,8.0,8.0,0.0
Josh Jacobs,RB,RB/FLEX,GB,1,6700,5.52%,14.0,8.0,6.0
Baker Mayfield,QB,QB,TB,1,6600,6.90%,22.58,10.58,12.0
Mike Evans,WR,WR/FLEX,TB,1,6600,12.14%,10.1,10.1,0.0
Chase Brown,RB,RB/FLEX,CIN,1,6600,10.01%,13.1,7.1,6.0
Brock Bowers,TE,TE/FLEX,LV,1,6500,4.19%,18.3,18.3,0.0
Drake London,WR,WR/FLEX,ATL,1,6500,11.88%,13.5,13.5,0.0
Jared Goff,QB,QB,DET,1,6500,1.13%,11.9,7.9,4.0
Kyren Williams,RB,RB/FLEX,LAR,1,6500,3.64%,13.9,7.9,6.0
Breece Hall,RB,RB/FLEX,NYJ,1,6400,1.51%,19.5,19.5,0.0
Kyler Murray,QB,QB,ARI,1,6400,2.33%,18.32,10.32,8.0
Tee Higgins,WR,WR/FLEX,CIN,1,6400,9.78%,6.3,6.3,0.0
Garrett Wilson,WR,WR/FLEX,NYJ,1,6300,1.39%,22.5,16.5,6.0
