Week,Rank,Team,2023,Last 3,Last 1,Home,Away,2022
7,1,Miami,13.4,12,12.5,13.8,13,12.2
7,2,Houston,12.1,14.8,13.6,13.8,10.7,9.5
7,3,San Francisco,12.1,12.6,8.9,13,10.8,11.6
7,4,LA Rams,11.2,11.1,13.5,9.9,12.4,9
7,5,Green Bay,11.1,10.2,10.9,10,12.3,10
7,6,Detroit,11,10.8,11.3,11.1,11,11.2
7,7,Buffalo,10.5,12.5,8.9,10.5,10.4,11.5
7,8,Philadelphia,10.4,11.2,9.6,11.2,10.1,11.5
7,9,Chicago,10.3,11.6,7.1,8.9,12.6,10
7,10,LA Chargers,10.3,10.7,10,9.8,10.7,9.5
7,11,Kansas City,10.1,9.6,9.8,10.5,9.8,11.3
7,12,Las Vegas,10.1,9.6,13.2,10.6,9.6,11
7,13,Tennessee,10.1,10.9,8.7,10.9,9.6,10.2
7,14,Seattle,10.1,11.3,10.9,9.6,10.3,9.8
7,15,Tampa Bay,10,9.8,10.8,10.9,8.9,9.2
7,16,Minnesota,10,9.1,8.3,9.9,10.2,9.9
7,17,Denver,9.9,8.6,6.3,9.4,10.4,10.4
7,18,Indianapolis,9.8,11.6,9.4,11.8,8.5,8.6
7,19,Atlanta,9.7,10.6,10.6,10.7,7.5,10.5
7,20,Baltimore,9.6,10.3,10.5,8.5,10.2,10.2
7,21,Pittsburgh,9.6,10.4,11.2,9.4,10,9.4
7,22,Jacksonville,9.3,9.1,7.4,8.8,9.9,9.9
7,23,Arizona,9.3,9.8,10.2,10.5,8.4,8.4
7,24,Dallas,9.3,9.5,11.7,8.2,10.1,10.5
7,25,New Orleans,9.1,8.5,10.3,8.7,9.3,10.9
7,26,Washington,8.9,9.2,8.6,8.5,9.2,10.1
7,27,New England,8.8,8.9,7.3,7.6,10.5,9.9
7,28,NY Jets,8.7,8.4,8.2,8,10.5,10.4
7,29,Cleveland,8.5,8,9.7,8.2,9.5,10.3
7,30,Carolina,7.9,7.8,7.8,6.1,8.7,11.2
7,31,Cincinnati,7.6,7.4,7,8.1,7,10
7,32,NY Giants,7.2,6.8,7.7,4.5,8.4,9.2
